filename,Bi,SBi,Si,$REPET,StepCounter,ambientTemp,meanTemp,meanSensors,meanOpinion,sdevOpinion,minOpinion,maxOpinion,meanReliability,mnOpinErr!,mnSensErr!,mnOpSensDiff!,mnOpAmbDiff!,providersCount,cntProviders,newProviders,delProviders,self_net,meanDistSelf,meanDistNet,liveCount,link_up,link_dw,sensor_up,sensor_dw,howManyLinks,Ambient_waves_numb,Scrambs_numb,HistTooLow,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,HistTooHig
RTSIsc1.48dRnd0000001023_Ne.4Si50_Cr.0Bi-04.00-5SBi10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-4.0,10.0,50.0,17.0,319.5,0.112436146,79.274124,75.71587,62.19734,413.80624,-25.118023,106.79168,0.27940395,16.582859,3.1123106,13.034612,61.626183,37.20175,23.970549,13.231203,13.179924,17.865673,76.61272,62.439247,159.75,105.67434,54.075665,54.075665,105.67434,631.57574,5.408286,36.757576,0.0,13.396023,32.813683,43.63878,52.233616,77.15706,184.93896,60.071827,51.863873,46.565815,68.89612,0.0
RTSIsc1.48dRnd0000000929_Ne.4Si50_Cr.0Bi08.00-5SBi08.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,8.0,8.0,50.0,17.0,319.5,0.30554667,62.99192,70.975136,58.3529,385.2491,-27.959002,103.70585,0.2873147,5.614536,7.484659,12.135938,57.596497,38.10256,24.433996,13.668561,13.610512,18.135984,71.63506,58.49867,159.75,104.17387,55.576138,55.576138,104.17387,631.75757,5.4404354,36.757576,0.0,11.315767,32.88821,45.57514,54.310368,79.22188,185.99446,59.56747,52.084328,45.683617,65.11633,0.0
RTSIsc1.48dRnd0000000008_Ne.4Si50_Cr.0Bi-34.00-5SBi-10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-34.0,-10.0,50.0,17.0,319.5,0.24797153,-80.32061,-102.43025,-97.15758,421.55957,-109.8075,22.176142,0.42389506,16.83357,21.608145,5.0144887,96.911316,43.576374,24.531109,19.045265,18.983854,44.90071,103.70871,97.726616,159.75,66.149055,93.600945,93.600945,66.149055,632.24243,5.485085,37.060608,0.0,87.30109,86.1286,73.42102,64.726654,73.77694,127.90151,35.993797,28.802746,25.118465,29.07159,0.0
RTSIsc1.48dRnd0000000629_Ne.4Si50_Cr.0Bi08.00-5SBi02.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,8.0,2.0,50.0,17.0,319.5,0.54773855,18.719393,26.402348,16.538921,307.55286,-57.590878,71.89562,0.32379237,3.9749053,7.1850853,9.38821,15.6640625,41.593796,26.398201,15.195597,15.13267,19.536884,28.237848,18.562218,159.75,97.42864,62.321354,62.321354,97.42864,631.57574,5.590483,37.18182,0.0,7.0656724,30.466003,51.859516,66.33352,92.7125,184.48825,61.585037,48.58234,39.49782,48.985085,0.0
RTSIsc1.48dRnd0000000804_Ne.4Si50_Cr.0Bi-42.00-5SBi06.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-42.0,6.0,50.0,17.0,319.5,0.43084583,48.250816,6.982887,2.747748,271.87344,-60.88039,65.501564,0.357847,45.00232,40.766476,5.555208,3.9083333,44.4375,27.62377,16.81373,16.747112,21.41804,17.486544,10.420076,159.75,90.80516,68.94484,68.94484,90.80516,632.7879,5.3865056,37.333332,0.0,4.4867897,26.773533,55.97069,78.2295,106.02543,186.75905,62.48944,44.052937,31.89053,36.10999,0.0
RTSIsc1.48dRnd0000000312_Ne.4Si50_Cr.0Bi-26.00-5SBi-04.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-26.0,-4.0,50.0,17.0,319.5,0.40090677,-31.842768,-57.326668,-44.883877,391.64703,-92.31081,42.57348,0.29154935,13.44678,24.98305,11.9552555,44.836033,38.85038,25.068514,13.781865,13.72268,18.255445,58.84831,46.053886,159.75,103.412125,56.33788,56.33788,103.412125,631.9394,5.4326706,36.666668,0.0,10.501752,32.2688,45.739914,56.726326,83.83665,183.36131,61.087357,51.29588,44.585606,62.535797,0.0
RTSIsc1.48dRnd0000000314_Ne.4Si50_Cr.0Bi-22.00-5SBi-04.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-22.0,-4.0,50.0,17.0,319.5,0.1581262,-31.732777,-53.653667,-40.471184,391.691,-89.88289,43.647182,0.2858664,10.002983,21.423105,12.701752,40.236362,37.46889,23.956203,13.51269,13.456345,17.244745,54.932964,41.423313,159.75,104.96965,54.78035,54.78035,104.96965,630.9697,5.409091,37.0,0.0,8.237547,28.90947,44.423767,57.006344,84.42524,186.32576,61.35871,52.038162,45.210983,63.03371,0.0
RTSIsc1.48dRnd0000000313_Ne.4Si50_Cr.0Bi-24.00-5SBi-04.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-24.0,-4.0,50.0,17.0,319.5,0.56560516,-34.141243,-57.80745,-44.53331,388.5322,-92.61,39.684082,0.2844793,11.381061,23.165483,12.791193,44.671165,37.025852,23.590294,13.435558,13.379403,17.558807,59.471382,45.710278,159.75,104.98811,54.761883,54.761883,104.98811,631.2727,5.455066,37.21212,0.0,9.524574,30.951988,45.881107,56.051895,80.204216,187.17523,60.48622,51.08494,44.920692,64.99186,0.0
RTSIsc1.48dRnd0000000050_Ne.4Si50_Cr.0Bi50.00-5SBi-10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,50.0,-10.0,50.0,17.0,319.5,0.62382823,-79.51327,-31.821241,-18.95686,324.71204,-74.40821,49.92685,0.29132304,60.05663,47.196495,12.384801,19.214441,37.928314,24.211742,13.716572,13.660086,18.028835,34.521286,21.499851,159.75,103.5831,56.166904,56.166904,103.5831,631.3333,5.4777937,36.636364,0.0,9.714773,30.104734,46.45322,58.507008,84.07268,185.99763,58.85355,49.64541,44.309185,63.67514,0.0
RTSIsc1.48dRnd0000000520_Ne.4Si50_Cr.0Bi-10.00-5SBi00.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-10.0,0.0,50.0,17.0,319.5,0.20070033,1.9711512,-7.789011,-3.7005763,263.1101,-62.14159,63.86376,0.36276916,6.400521,9.260369,5.034943,4.7878313,45.54091,28.405918,17.13499,17.063778,21.399858,17.489681,10.907805,159.75,90.01449,69.73551,69.73551,90.01449,631.63635,5.386269,37.030304,0.0,4.213447,27.274906,55.700237,79.6437,108.15601,184.4187,62.528313,44.113163,31.627226,33.960655,0.0
