filename,Bi,SBi,Si,$REPET,StepCounter,ambientTemp,meanTemp,meanSensors,meanOpinion,sdevOpinion,minOpinion,maxOpinion,meanReliability,mnOpinErr!,mnSensErr!,mnOpSensDiff!,mnOpAmbDiff!,providersCount,cntProviders,newProviders,delProviders,self_net,meanDistSelf,meanDistNet,liveCount,link_up,link_dw,sensor_up,sensor_dw,howManyLinks,Ambient_waves_numb,Scrambs_numb,HistTooLow,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,HistTooHig
RTSIsc1.48cRnd0000000024_Ne.4Si50_Cr.0Bi20.00-5SBi04.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,20.0,4.0,50.0,17.0,319.5,0.33887494,34.589626,54.13886,42.34763,379.85205,-44.06538,92.11105,0.29803503,8.729688,19.0509,11.306297,41.55445,38.770027,24.822254,13.947775,13.885796,18.63035,54.928707,42.671734,159.75,102.12339,57.62661,57.62661,102.12339,629.9394,5.6216855,37.333332,0.0,10.363494,32.58073,46.651752,57.028645,83.38769,184.59483,60.007008,51.317284,44.178837,59.82912,0.0
RTSIsc1.48cRnd0000000025_Ne.4Si50_Cr.0Bi25.00-5SBi10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,25.0,10.0,50.0,17.0,319.5,0.13808349,79.73332,100.06902,91.1009,471.0329,-17.245481,114.39534,0.33604747,12.035891,19.834707,8.520076,90.46922,41.773296,25.923296,15.85,15.788636,23.188257,100.8746,91.30671,159.75,93.32737,66.42263,66.42263,93.32737,631.57574,5.4171877,36.575756,0.0,19.754404,45.873817,57.94233,64.39687,85.62642,167.73897,53.937595,45.311317,40.06231,50.931725,0.0
RTSIsc1.48cRnd0000000024_Ne.4Si50_Cr.0Bi20.00-5SBi06.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,20.0,6.0,50.0,17.0,319.5,0.33887494,50.974514,70.652794,58.694984,413.68307,-30.785143,103.49265,0.29921654,8.789252,19.178978,11.462784,57.870502,39.949383,25.922585,14.026799,13.968182,18.542707,71.29619,58.8859,159.75,102.04337,57.706627,57.706627,102.04337,632.9697,5.6216855,37.333332,0.0,10.551752,33.531628,48.233997,58.769035,85.71269,181.13792,59.834564,50.591053,44.436695,60.17036,0.0
RTSIsc1.48cRnd0000000022_Ne.4Si50_Cr.0Bi10.00-5SBi02.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,10.0,2.0,50.0,17.0,319.5,0.42722717,16.101473,26.049593,16.059837,307.9989,-56.69952,70.83143,0.32180256,3.9194603,9.447112,9.5272255,15.37642,41.31605,26.365437,14.950616,14.8870735,19.942472,28.558418,18.750088,159.75,97.48376,62.26624,62.26624,97.48376,631.9394,5.5001893,36.848484,0.0,9.205587,31.462358,50.987972,65.06364,92.072205,185.007,60.308712,48.32178,38.897587,50.61255,0.0
RTSIsc1.48cRnd0000000011_Ne.4Si50_Cr.0Bi-45.00-5SBi-02.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-45.0,-2.0,50.0,17.0,319.5,0.38684684,-14.952363,-58.967007,-46.4544,407.76117,-93.37989,43.56611,0.29244736,31.138874,43.511696,12.019555,46.375427,38.445454,24.617567,13.8278885,13.770975,17.78286,60.509434,47.525665,159.75,103.55256,56.197445,56.197445,103.55256,632.0,5.576278,36.666668,0.0,9.45071,30.631723,46.317284,57.33963,85.02874,185.08855,61.109516,51.2848,44.239063,61.50999,0.0
RTSIsc1.48cRnd0000000025_Ne.4Si50_Cr.0Bi25.00-5SBi-06.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,25.0,-6.0,50.0,17.0,319.5,0.13808349,-48.16894,-23.471777,-12.626303,306.17575,-69.09066,57.70147,0.31377345,35.042423,24.200851,10.379072,12.542234,40.539345,25.976658,14.56269,14.50142,19.470833,26.655207,15.9481735,159.75,99.09422,60.655777,60.655777,99.09422,631.3333,5.4171877,36.575756,0.0,8.490909,31.420502,51.33641,64.17552,88.22401,184.13443,59.721447,48.613873,40.302414,54.913826,0.0
RTSIsc1.48cRnd0000000021_Ne.4Si50_Cr.0Bi05.00-5SBi10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,5.0,10.0,50.0,17.0,319.5,0.48364154,81.89302,86.23233,73.96787,417.2488,-17.819786,111.354866,0.2859248,7.771212,3.888873,11.776326,72.99025,38.023106,24.389204,13.633902,13.5755205,17.507765,86.718834,73.760994,159.75,104.793274,54.956722,54.956722,104.793274,632.48486,5.5368843,36.878788,0.0,11.649006,32.685654,45.62263,54.81913,81.56686,183.9597,59.437782,50.265625,46.336838,66.14162,0.0
RTSIsc1.48cRnd0000000017_Ne.4Si50_Cr.0Bi-15.00-5SBi-08.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-15.0,-8.0,50.0,17.0,319.5,0.5888547,-62.304317,-76.34637,-63.67656,397.14716,-103.80565,24.526743,0.27782923,5.262121,13.542046,12.177036,63.830967,36.93835,23.860605,13.077746,13.023106,16.694508,77.989784,64.64643,159.75,106.58518,53.16482,53.16482,106.58518,631.2727,5.4702654,36.939392,0.0,10.3326235,31.232197,42.95535,53.35298,78.041664,187.06108,60.18854,52.637123,47.607906,67.86326,0.0
RTSIsc1.48cRnd0000000028_Ne.4Si50_Cr.0Bi40.00-5SBi08.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,40.0,8.0,50.0,17.0,319.5,0.40650687,65.03505,98.930824,90.27187,466.48737,-19.461988,113.91584,0.34428236,25.325663,33.396305,8.238163,89.40819,41.701233,25.518656,16.182575,16.120123,25.341146,99.52183,90.45809,159.75,90.60322,69.14678,69.14678,90.60322,629.69696,5.4322915,37.060608,0.0,24.257812,50.7295,59.748817,63.807007,83.134514,165.70848,52.659042,44.157578,38.427605,47.06662,0.0
RTSIsc1.48cRnd0000000011_Ne.4Si50_Cr.0Bi-45.00-5SBi-08.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-45.0,-8.0,50.0,17.0,319.5,0.38684684,-63.121624,-99.35428,-92.83157,452.97504,-109.75701,23.520199,0.38742024,29.48428,35.732624,6.1605587,92.717896,45.234802,26.993181,18.24162,18.168324,31.45535,100.7827,93.52201,159.75,79.969696,79.780304,79.780304,79.969696,632.42426,5.576278,36.666668,0.0,36.05682,62.210983,71.31941,71.91245,85.958,152.77718,47.069225,37.668938,32.416714,35.034515,0.0
